,RegionName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Avg_Bottomtier
0,Alabama,40191.67,36908.33,34385.71,35008.33,39158.33,40116.67,41041.67,43183.33,44708.33,49991.67,52383.33,41552.49
1,Alaska,186100.0,188058.33,189064.29,185866.67,187216.67,188058.33,192533.33,192825.0,195475.0,199275.0,200800.0,191388.42
2,Arizona,100291.67,82333.33,72978.57,75008.33,92366.67,106266.67,116033.33,127900.0,141075.0,156775.0,166633.33,112514.72
3,Arkansas,43883.33,43000.0,41528.57,40675.0,41375.0,41366.67,42283.33,44591.67,47791.67,54600.0,56183.33,45207.14
4,California,171858.33,158433.33,149850.0,148500.0,175175.0,207225.0,228633.33,248375.0,271683.33,294533.33,306050.0,214574.24
5,Colorado,131300.0,130283.33,124335.71,125291.67,136066.67,148700.0,168375.0,189375.0,212600.0,234000.0,248966.67,168117.64
6,Connecticut,162066.67,156750.0,144700.0,132941.67,132375.0,131050.0,128675.0,131941.67,139733.33,146641.67,150833.33,141609.85
7,Delaware,,,,,,,,,,,,
8,District of Columbia,228425.0,211966.67,200542.86,199933.33,218291.67,236083.33,256558.33,273950.0,299950.0,316466.67,330816.67,252089.5
9,Florida,78716.67,63716.67,56314.29,56183.33,62000.0,69141.67,76633.33,89133.33,109641.67,125641.67,133600.0,83702.06
10,Georgia,74933.33,65450.0,56514.29,48166.67,52850.0,59325.0,64283.33,70125.0,77608.33,89691.67,100016.67,68996.75
11,Hawaii,236258.33,229058.33,221571.43,221816.67,236350.0,255316.67,268183.33,290266.67,310300.0,326233.33,331816.67,266106.49
12,Idaho,115875.0,106150.0,96207.14,95316.67,104183.33,111841.67,117700.0,128000.0,139116.67,155075.0,172150.0,121965.04
13,Illinois,80916.67,75166.67,67421.43,61125.0,61166.67,63341.67,66700.0,70141.67,73658.33,78241.67,79700.0,70689.07
14,Indiana,65158.33,61725.0,59428.57,56783.33,54825.0,54358.33,53283.33,56533.33,61275.0,69633.33,74783.33,60707.9
15,Iowa,61233.33,61000.0,59507.14,59625.0,60766.67,62025.0,64725.0,67316.67,70325.0,74575.0,75216.67,65119.59
16,Kansas,59416.67,58166.67,56050.0,54125.0,53658.33,51208.33,52266.67,53908.33,57058.33,59616.67,59816.67,55935.61
17,Kentucky,59633.33,59158.33,57428.57,55216.67,54508.33,55191.67,57066.67,59700.0,64283.33,71441.67,73816.67,60676.84
18,Louisiana,,,,,,,,,,,,
19,Maine,92800.0,95041.67,92442.86,93016.67,97583.33,104291.67,108858.33,113525.0,118916.67,129483.33,135433.33,107399.35
20,Maryland,154950.0,140408.33,125785.71,117250.0,120208.33,124591.67,129525.0,132166.67,139358.33,151316.67,154083.33,135422.19
21,Massachusetts,185741.67,181375.0,170800.0,164400.0,171175.0,180441.67,187266.67,199241.67,219908.33,234600.0,242983.33,194357.58
22,Michigan,42200.0,32558.33,28778.57,28000.0,30491.67,34200.0,38675.0,40808.33,44725.0,53300.0,57583.33,39210.93
23,Minnesota,101025.0,97241.67,89857.14,85700.0,91916.67,99375.0,106016.67,114866.67,123900.0,132175.0,138983.33,107368.83
24,Mississippi,59575.0,59283.33,56214.29,56250.0,54341.67,47700.0,48525.0,55333.33,59433.33,66433.33,70050.0,57558.12
25,Missouri,74983.33,73000.0,68935.71,64866.67,63191.67,63650.0,64591.67,68141.67,72433.33,79433.33,82183.33,70491.88
26,Montana,116400.0,116100.0,114178.57,114441.67,116775.0,117891.67,120591.67,128233.33,133283.33,140216.67,146716.67,124075.32
27,Nebraska,60883.33,61166.67,60207.14,59741.67,61850.0,63683.33,67441.67,71241.67,76775.0,84725.0,88366.67,68734.74
28,Nevada,100725.0,75716.67,67721.43,66075.0,85875.0,105600.0,119508.33,132391.67,150433.33,181058.33,200816.67,116901.95
29,New Hampshire,143458.33,138791.67,129971.43,124258.33,127091.67,130500.0,134658.33,142741.67,154033.33,165750.0,173983.33,142294.37
30,New Jersey,184625.0,171708.33,156585.71,143791.67,141291.67,143433.33,143908.33,142558.33,150533.33,167975.0,174016.67,156402.49
31,New Mexico,113391.67,111250.0,103278.57,93691.67,94558.33,96408.33,99066.67,103308.33,109875.0,120316.67,124983.33,106375.32
32,New York,94691.67,95341.67,93714.29,92508.33,94575.0,96991.67,98725.0,102625.0,109325.0,116125.0,120416.67,101367.21
33,North Carolina,76858.33,73691.67,69064.29,65391.67,64550.0,65850.0,67483.33,71475.0,77950.0,85266.67,90166.67,73431.6
34,North Dakota,67975.0,68508.33,70742.86,74850.0,83000.0,87900.0,93516.67,99050.0,107366.67,111366.67,112166.67,88767.53
35,Ohio,60208.33,57466.67,52571.43,48375.0,47850.0,49591.67,51300.0,52975.0,57308.33,64283.33,67600.0,55411.8
36,Oklahoma,37525.0,37158.33,35864.29,34941.67,35225.0,35450.0,36191.67,37850.0,41341.67,48550.0,50233.33,39121.0
37,Oregon,151825.0,140133.33,126157.14,123116.67,132266.67,143958.33,155883.33,171291.67,191900.0,213716.67,227733.33,161634.74
38,Pennsylvania,67158.33,66416.67,62514.29,59175.0,59325.0,61033.33,62758.33,64491.67,68775.0,76800.0,78616.67,66096.75
39,Rhode Island,162441.67,155458.33,144107.14,132108.33,134533.33,141008.33,148341.67,159600.0,177416.67,197458.33,204466.67,159721.86
40,South Carolina,57616.67,55066.67,49357.14,46216.67,46208.33,47891.67,49850.0,54516.67,61091.67,68725.0,71616.67,55287.01
41,South Dakota,83400.0,83316.67,83678.57,82308.33,85283.33,88716.67,94100.0,101583.33,107416.67,112375.0,119100.0,94661.69
42,Tennessee,52466.67,51366.67,49492.86,47916.67,48408.33,50325.0,52291.67,56066.67,62341.67,69725.0,73066.67,55769.81
43,Texas,71391.67,69808.33,67742.86,67208.33,68408.33,70475.0,74458.33,80483.33,88691.67,98150.0,104583.33,78309.2
44,Utah,158500.0,150550.0,139150.0,134333.33,143758.33,151633.33,157808.33,172816.67,191475.0,219075.0,243000.0,169281.82
45,Vermont,117225.0,116483.33,114821.43,115650.0,116216.67,118466.67,118716.67,119750.0,121333.33,123966.67,128133.33,119160.28
46,Virginia,122183.33,117616.67,110885.71,106966.67,107416.67,109850.0,111925.0,116375.0,124358.33,129775.0,133566.67,117356.28
47,Washington,162233.33,152783.33,140135.71,132091.67,139200.0,148200.0,159658.33,177008.33,201091.67,225658.33,245033.33,171190.37
48,West Virginia,35333.33,34633.33,33407.14,32541.67,32891.67,33300.0,34575.0,36516.67,37875.0,42641.67,42116.67,35984.74
49,Wisconsin,88816.67,85191.67,80514.29,78141.67,78358.33,79875.0,82233.33,86541.67,92666.67,100250.0,106516.67,87191.45
50,Wyoming,123883.33,124441.67,124221.43,125408.33,129583.33,135450.0,138583.33,143075.0,144475.0,152491.67,154033.33,135967.86
